,artist,date,song
0,Drake,2018-08-04,In My Feelings
1,"Cardi B, Bad Bunny & J Balvin",2018-08-04,I Like It
2,Maroon 5 Featuring Cardi B,2018-08-04,Girls Like You
3,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-08-04,FeFe
4,Post Malone,2018-08-04,Better Now
5,Drake,2018-08-04,Nice For What
6,Ella Mai,2018-08-04,Boo'd Up
7,Juice WRLD,2018-08-04,Lucid Dreams
8,Post Malone Featuring Ty Dolla $ign,2018-08-04,Psycho
9,Tyga Featuring Offset,2018-08-04,Taste
10,Ariana Grande,2018-08-04,No Tears Left To Cry
11,Taylor Swift,2018-08-04,Delicate
12,Drake,2018-08-04,God's Plan
13,Lil Baby & Drake,2018-08-04,Yes Indeed
14,"Zedd, Maren Morris & Grey",2018-08-04,The Middle
15,Marshmello & Anne-Marie,2018-08-04,Friends
16,Ed Sheeran,2018-08-04,Perfect
17,Khalid & Normani,2018-08-04,Love Lies
18,XXXTENTACION,2018-08-04,Sad!
19,Bebe Rexha & Florida Georgia Line,2018-08-04,Meant To Be
20,Ariana Grande,2018-08-04,God Is A Woman
21,Bazzi,2018-08-04,Mine
22,Shawn Mendes,2018-08-04,In My Blood
23,Dan + Shay,2018-08-04,Tequila
24,5 Seconds Of Summer,2018-08-04,Youngblood
25,Selena Gomez,2018-08-04,Back To You
26,Calvin Harris & Dua Lipa,2018-08-04,One Kiss
27,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-04,Big Bank
28,Drake,2018-08-04,Nonstop
29,The Carters,2018-08-04,Apes**t
30,Lauv,2018-08-04,I Like Me Better
31,Camila Cabello,2018-08-04,Never Be The Same
32,Brett Young,2018-08-04,Mercy
33,Imagine Dragons,2018-08-04,Whatever It Takes
34,Kenny Chesney,2018-08-04,Get Along
35,Florida Georgia Line,2018-08-04,Simple
36,Imagine Dragons,2018-08-04,Natural
37,Drake,2018-08-04,I'm Upset
38,XXXTENTACION,2018-08-04,Moonlight
39,BlocBoy JB Featuring Drake,2018-08-04,Look Alive
40,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-04,Te Bote
41,Jason Aldean Featuring Miranda Lambert,2018-08-04,Drowns The Whiskey
42,Jake Owen,2018-08-04,I Was Jack (You Were Diane)
43,Foster The People,2018-08-04,Sit Next To Me
44,Childish Gambino,2018-08-04,This Is America
45,Cardi B,2018-08-04,Be Careful
46,Nicky Jam x J Balvin,2018-08-04,X
47,Luke Combs,2018-08-04,One Number Away
48,Thomas Rhett,2018-08-04,Life Changes
49,Keith Urban Featuring Julia Michaels,2018-08-04,Coming Home
50,XXXTENTACION,2018-08-04,Changes
51,"Benny Blanco, Halsey & Khalid",2018-08-04,Eastside
52,Drake,2018-08-04,Mob Ties
53,Drake Featuring Michael Jackson,2018-08-04,Don't Matter To Me
54,Nicki Minaj Featuring Ariana Grande,2018-08-04,Bed
55,Demi Lovato,2018-08-04,Sober
56,Chris Lane Featuring Tori Kelly,2018-08-04,Take Back Home Girl
57,Juice WRLD,2018-08-04,All Girls Are The Same
58,Luke Bryan,2018-08-04,"Sunrise, Sunburn, Sunset"
59,Chance The Rapper,2018-08-04,I Might Need Security
60,Clean Bandit Featuring Demi Lovato,2018-08-04,Solo
61,Tiesto & Dzeko Featuring Preme & Post Malone,2018-08-04,Jackie Chan
62,Old Dominion,2018-08-04,Hotel Key
63,Bebe Rexha,2018-08-04,I'm A Mess
64,Queen Naija,2018-08-04,Medicine
65,Alessia Cara,2018-08-04,Growing Pains
66,Juice WRLD Featuring Lil Uzi Vert,2018-08-04,Wasted
67,Backstreet Boys,2018-08-04,Don't Go Breaking My Heart
68,Childish Gambino,2018-08-04,Summertime Magic
69,Morgan Wallen Featuring Florida Georgia Line,2018-08-04,Up Down
70,Morgan Evans,2018-08-04,Kiss Somebody
71,Becky G + Natti Natasha,2018-08-04,Sin Pijama
72,Lil Dicky Featuring Chris Brown,2018-08-04,Freaky Friday
73,Lauren Daigle,2018-08-04,You Say
74,lovelytheband,2018-08-04,Broken
75,Dylan Scott,2018-08-04,Hooked
76,Ciara,2018-08-04,Level Up
77,TK Kravitz Featuring Jacqueez,2018-08-04,Ocean
78,Kygo Featuring Miguel,2018-08-04,Remind Me To Forget
79,"Khalid, Ty Dolla $ign & 6LACK",2018-08-04,OTW
80,Daniel Caesar Featuring H.E.R.,2018-08-04,Best Part
81,G-Eazy Featuring Yo Gotti & YBN Nahmir,2018-08-04,1942
82,Post Malone Featuring Nicki Minaj,2018-08-04,Ball For Me
83,Carrie Underwood,2018-08-04,Cry Pretty
84,Martin Garrix Featuring Khalid,2018-08-04,Ocean
85,Weezer,2018-08-04,Africa
86,Cole Swindell,2018-08-04,Break Up In The End
87,twenty one pilots,2018-08-04,Jumpsuit
88,The Weeknd,2018-08-04,Call Out My Name
89,Dennis Lloyd,2018-08-04,Nevermind
90,Kanye West,2018-08-04,All Mine
91,Migos,2018-08-04,Narcos
92,Billie Eilish,2018-08-04,You Should See Me In A Crown
93,Eric Church,2018-08-04,Desperate Man
94,Wiz Khalifa Featuring Swae Lee,2018-08-04,Hopeless Romantic
95,A$AP Rocky Featuring Skepta,2018-08-04,Praise The Lord (Da Shine)
96,NF,2018-08-04,Lie
97,Kane Brown,2018-08-04,Lose It
98,Drake,2018-08-04,Emotionless
99,Drake,2018-08-04,Can't Take A Joke
100,"Cardi B, Bad Bunny & J Balvin",2018-07-07,I Like It
101,XXXTENTACION,2018-07-07,Sad!
102,Juice WRLD,2018-07-07,Lucid Dreams
103,Maroon 5 Featuring Cardi B,2018-07-07,Girls Like You
104,Post Malone Featuring Ty Dolla $ign,2018-07-07,Psycho
105,Drake,2018-07-07,Nice For What
106,Ella Mai,2018-07-07,Boo'd Up
107,Ariana Grande,2018-07-07,No Tears Left To Cry
108,Drake,2018-07-07,God's Plan
109,Bebe Rexha & Florida Georgia Line,2018-07-07,Meant To Be
110,Lil Baby & Drake,2018-07-07,Yes Indeed
111,"Zedd, Maren Morris & Grey",2018-07-07,The Middle
112,XXXTENTACION,2018-07-07,Moonlight
113,Post Malone,2018-07-07,Better Now
114,Rich The Kid,2018-07-07,Plug Walk
115,Bazzi,2018-07-07,Mine
116,Ed Sheeran,2018-07-07,Perfect
117,XXXTENTACION,2018-07-07,Changes
118,The Carters,2018-07-07,Apes**t
119,Taylor Swift,2018-07-07,Delicate
120,Dan + Shay,2018-07-07,Tequila
121,Marshmello & Anne-Marie,2018-07-07,Friends
122,Shawn Mendes,2018-07-07,In My Blood
123,Childish Gambino,2018-07-07,This Is America
124,XXXTENTACION,2018-07-07,Jocelyn Flores
125,Drake,2018-07-07,I'm Upset
126,BlocBoy JB Featuring Drake,2018-07-07,Look Alive
127,Camila Cabello,2018-07-07,Never Be The Same
128,Migos Featuring Drake,2018-07-07,Walk It Talk It
129,Tyga Featuring Offset,2018-07-07,Taste
130,Imagine Dragons,2018-07-07,Whatever It Takes
131,Cardi B,2018-07-07,Be Careful
132,Post Malone Featuring 21 Savage,2018-07-07,Rockstar
133,XXXTENTACION Featuring Trippie Redd,2018-07-07,F**k Love
134,Selena Gomez,2018-07-07,Back To You
135,Calvin Harris & Dua Lipa,2018-07-07,One Kiss
136,Khalid & Normani,2018-07-07,Love Lies
137,Kane Brown,2018-07-07,Heaven
138,Camila Cabello Featuring Young Thug,2018-07-07,Havana
139,Dua Lipa,2018-07-07,New Rules
140,Lauv,2018-07-07,I Like Me Better
141,Juice WRLD,2018-07-07,All Girls Are The Same
142,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-07,Te Bote
143,Kenny Chesney,2018-07-07,Get Along
144,Florida Georgia Line,2018-07-07,Simple
145,XXXTENTACION,2018-07-07,Everybody Dies In Their Nightmares
146,Lil Dicky Featuring Chris Brown,2018-07-07,Freaky Friday
147,Brett Young,2018-07-07,Mercy
148,Luke Combs,2018-07-07,One Number Away
149,Maroon 5,2018-07-07,Wait
150,Foster The People,2018-07-07,Sit Next To Me
151,5 Seconds Of Summer,2018-07-07,Youngblood
152,Morgan Wallen Featuring Florida Georgia Line,2018-07-07,Up Down
153,Kanye West,2018-07-07,All Mine
154,XXXTENTACION,2018-07-07,The Remedy For A Broke Heart (Why Am I So In Love)
155,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-07-07,Big Bank
156,Daddy Yankee,2018-07-07,Dura
157,Demi Lovato,2018-07-07,Sober
158,Post Malone Featuring Nicki Minaj,2018-07-07,Ball For Me
159,"2 Chainz, Drake & Quavo",2018-07-07,Bigger > You
160,Panic! At The Disco,2018-07-07,Say Amen (Saturday Night)
161,Nicki Minaj,2018-07-07,Chun-Li
162,Famous Dex,2018-07-07,Japan
163,Nicky Jam x J Balvin,2018-07-07,X
164,Juice WRLD,2018-07-07,Legends
165,David Lee Murphy & Kenny Chesney,2018-07-07,Everything's Gonna Be Alright
166,Nicki Minaj Featuring Ariana Grande,2018-07-07,Bed
167,J. Cole,2018-07-07,KOD
168,Halsey Featuring Big Sean & Stefflon Don,2018-07-07,Alone
169,XXXTENTACION,2018-07-07,Hope
170,Lil Pump,2018-07-07,Esskeetit
171,6ix9ine Featuring DJ SPINKING,2018-07-07,TATI
172,Jason Aldean Featuring Miranda Lambert,2018-07-07,Drowns The Whiskey
173,Charlie Puth Featuring Kehlani,2018-07-07,Done For Me
174,Jake Owen,2018-07-07,I Was Jack (You Were Diane)
175,BTS,2018-07-07,Fake Love
176,Kanye West,2018-07-07,Yikes
177,The Weeknd,2018-07-07,Call Out My Name
178,Lil Skies Featuring Yung Pinch,2018-07-07,I Know You
179,XXXTENTACION,2018-07-07,Numb
180,Queen Naija,2018-07-07,Medicine
181,A$AP Rocky Featuring Skepta,2018-07-07,Praise The Lord (Da Shine)
182,Becky G + Natti Natasha,2018-07-07,Sin Pijama
183,Panic! At The Disco,2018-07-07,High Hopes
184,Blake Shelton,2018-07-07,I Lived It
185,Rae Sremmurd & Juicy J,2018-07-07,Powerglide
186,Billie Eilish & Khalid,2018-07-07,Lovely
187,Keith Urban Featuring Julia Michaels,2018-07-07,Coming Home
188,Lil Baby Featuring Gunna & Lil Uzi Vert,2018-07-07,Life Goes On
189,Bad Wolves,2018-07-07,Zombie
190,YoungBoy Never Broke Again,2018-07-07,Overdose
191,Thomas Rhett,2018-07-07,Life Changes
192,Dierks Bentley,2018-07-07,"Woman, Amen"
193,Kygo & Imagine Dragons,2018-07-07,Born To Be Yours
194,Ariana Grande Featuring Nicki Minaj,2018-07-07,The Light Is Coming
195,"Khalid, Ty Dolla $ign & 6LACK",2018-07-07,OTW
196,Clean Bandit Featuring Demi Lovato,2018-07-07,Solo
197,Chris Lane Featuring Tori Kelly,2018-07-07,Take Back Home Girl
198,The Carters,2018-07-07,Boss
199,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-07-07,Sativa
200,Drake,2018-06-02,Nice For What
201,Childish Gambino,2018-06-02,This Is America
202,Drake,2018-06-02,God's Plan
203,Post Malone Featuring Ty Dolla $ign,2018-06-02,Psycho
204,"Zedd, Maren Morris & Grey",2018-06-02,The Middle
205,Lil Baby & Drake,2018-06-02,Yes Indeed
206,Bebe Rexha & Florida Georgia Line,2018-06-02,Meant To Be
207,Ella Mai,2018-06-02,Boo'd Up
208,Ariana Grande,2018-06-02,No Tears Left To Cry
209,BTS,2018-06-02,Fake Love
210,Marshmello & Anne-Marie,2018-06-02,Friends
211,BlocBoy JB Featuring Drake,2018-06-02,Look Alive
212,Camila Cabello,2018-06-02,Never Be The Same
213,Migos Featuring Drake,2018-06-02,Walk It Talk It
214,Ed Sheeran,2018-06-02,Perfect
215,Cardi B,2018-06-02,Be Careful
216,Imagine Dragons,2018-06-02,Whatever It Takes
217,Bazzi,2018-06-02,Mine
218,"Cardi B, Bad Bunny & J Balvin",2018-06-02,I Like It
219,Shawn Mendes,2018-06-02,In My Blood
220,Kane Brown,2018-06-02,Heaven
221,Lil Dicky Featuring Chris Brown,2018-06-02,Freaky Friday
222,Post Malone Featuring 21 Savage,2018-06-02,Rockstar
223,Camila Cabello Featuring Young Thug,2018-06-02,Havana
224,The Weeknd & Kendrick Lamar,2018-06-02,Pray For Me
225,Rich The Kid,2018-06-02,Plug Walk
226,Maroon 5,2018-06-02,Wait
227,Nicki Minaj,2018-06-02,Chun-Li
228,Post Malone,2018-06-02,Better Now
229,The Weeknd,2018-06-02,Call Out My Name
230,Dua Lipa,2018-06-02,New Rules
231,XXXTENTACION,2018-06-02,Sad!
232,Kendrick Lamar & SZA,2018-06-02,All The Stars
233,Taylor Swift,2018-06-02,Delicate
234,Juice WRLD,2018-06-02,Lucid Dreams
235,Khalid & Normani,2018-06-02,Love Lies
236,Bruno Mars & Cardi B,2018-06-02,Finesse
237,Luke Combs,2018-06-02,One Number Away
238,Jason Aldean,2018-06-02,You Make It Easy
239,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-02,Te Bote
240,Rae Sremmurd & Juicy J,2018-06-02,Powerglide
241,YoungBoy Never Broke Again,2018-06-02,Overdose
242,Calvin Harris & Dua Lipa,2018-06-02,One Kiss
243,Dan + Shay,2018-06-02,Tequila
244,Offset & Metro Boomin,2018-06-02,Ric Flair Drip
245,Selena Gomez,2018-06-02,Back To You
246,Daddy Yankee,2018-06-02,Dura
247,Nicky Jam x J Balvin,2018-06-02,X
248,J. Cole,2018-06-02,KOD
249,Post Malone Featuring Nicki Minaj,2018-06-02,Ball For Me
250,Dua Lipa,2018-06-02,IDGAF
251,Famous Dex,2018-06-02,Japan
252,Juice WRLD,2018-06-02,All Girls Are The Same
253,Charlie Puth Featuring Kehlani,2018-06-02,Done For Me
254,Lauv,2018-06-02,I Like Me Better
255,Lil Pump,2018-06-02,Esskeetit
256,Morgan Wallen Featuring Florida Georgia Line,2018-06-02,Up Down
257,Darius Rucker,2018-06-02,For The First Time
258,Kenny Chesney,2018-06-02,Get Along
259,Travis Scott Featuring Lil Uzi Vert & Kanye West,2018-06-02,Watch
260,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-06-02,King's Dead
261,El Chombo Featuring Cutty Ranks,2018-06-02,Dame Tu Cosita
262,Foster The People,2018-06-02,Sit Next To Me
263,Blake Shelton,2018-06-02,I Lived It
264,Post Malone,2018-06-02,Rich & Sad
265,Post Malone,2018-06-02,Paranoid
266,Playboi Carti Featuring Lil Uzi Vert,2018-06-02,Shoota
267,Kevin Gates,2018-06-02,Change Lanes
268,"Khalid, Ty Dolla $ign & 6LACK",2018-06-02,OTW
269,Halsey Featuring Big Sean & Stefflon Don,2018-06-02,Alone
270,Brett Young,2018-06-02,Mercy
271,Cardi B Featuring Migos,2018-06-02,Drip
272,Kris Wu,2018-06-02,Like That
273,Dierks Bentley,2018-06-02,"Woman, Amen"
274,Rich The Kid Featuring Kendrick Lamar,2018-06-02,New Freezer
275,David Lee Murphy & Kenny Chesney,2018-06-02,Everything's Gonna Be Alright
276,Post Malone Featuring Swae Lee,2018-06-02,Spoil My Night
277,Jordan Davis,2018-06-02,Singles You Up
278,Lil Baby,2018-06-02,Southside
279,Lil Baby Featuring Gunna & Lil Uzi Vert,2018-06-02,Life Goes On
280,Luke Bryan,2018-06-02,Most People Are Good
281,Kevin Gates,2018-06-02,Let It Sing
282,Pharrell Williams x Camila Cabello,2018-06-02,Sangria Wine
283,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",2018-06-02,Welcome To The Party
284,Bad Wolves,2018-06-02,Zombie
285,NAV Featuring Travis Scott,2018-06-02,Champion
286,Lil Skies Featuring Landon Cube,2018-06-02,Red Roses
287,Post Malone,2018-06-02,Stay
288,J. Cole,2018-06-02,ATM
289,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-06-02,Sativa
290,Logic & Marshmello,2018-06-02,Everyday
291,J. Cole,2018-06-02,Kevin's Heart
292,Meghan Trainor,2018-06-02,No Excuses
293,XXXTENTACION,2018-06-02,Moonlight
294,Lil Skies,2018-06-02,Lust
295,Bhad Bhabie Featuring Lil Yachty,2018-06-02,Gucci Flip Flops
296,YoungBoy Never Broke Again,2018-06-02,Outside Today
297,Sam Hunt,2018-06-02,Downtown's Dead
298,Backstreet Boys,2018-06-02,Don't Go Breaking My Heart
299,Ozuna & Romeo Santos,2018-06-02,El Farsante
300,Drake,2018-05-05,Nice For What
301,Drake,2018-05-05,God's Plan
302,Ariana Grande,2018-05-05,No Tears Left To Cry
303,Bebe Rexha & Florida Georgia Line,2018-05-05,Meant To Be
304,Post Malone Featuring Ty Dolla $ign,2018-05-05,Psycho
305,J. Cole,2018-05-05,ATM
306,"Zedd, Maren Morris & Grey",2018-05-05,The Middle
307,J. Cole,2018-05-05,Kevin's Heart
308,BlocBoy JB Featuring Drake,2018-05-05,Look Alive
309,J. Cole,2018-05-05,KOD
310,Ed Sheeran,2018-05-05,Perfect
311,Lil Dicky Featuring Chris Brown,2018-05-05,Freaky Friday
312,Camila Cabello,2018-05-05,Never Be The Same
313,J. Cole,2018-05-05,Photograph
314,J. Cole,2018-05-05,Motiv8
315,"Cardi B, Bad Bunny & J Balvin",2018-05-05,I Like It
316,Bazzi,2018-05-05,Mine
317,Migos Featuring Drake,2018-05-05,Walk It Talk It
318,The Weeknd,2018-05-05,Call Out My Name
319,J. Cole,2018-05-05,1985 (Intro To The Fall Off)
320,Rich The Kid,2018-05-05,Plug Walk
321,Camila Cabello Featuring Young Thug,2018-05-05,Havana
322,Cardi B,2018-05-05,Be Careful
323,Marshmello & Anne-Marie,2018-05-05,Friends
324,Bruno Mars & Cardi B,2018-05-05,Finesse
325,Imagine Dragons,2018-05-05,Whatever It Takes
326,The Weeknd & Kendrick Lamar,2018-05-05,Pray For Me
327,J. Cole Featuring kiLL edward,2018-05-05,The Cut Off
328,Kane Brown,2018-05-05,Heaven
329,J. Cole,2018-05-05,Brackets
330,XXXTENTACION,2018-05-05,Sad!
331,Post Malone Featuring 21 Savage,2018-05-05,Rockstar
332,Dua Lipa,2018-05-05,New Rules
333,Avicii,2018-05-05,Wake Me Up!
334,Famous Dex,2018-05-05,Japan
335,Shawn Mendes,2018-05-05,In My Blood
336,Lil Pump,2018-05-05,Esskeetit
337,Jason Aldean,2018-05-05,You Make It Easy
338,Migos,2018-05-05,Stir Fry
339,Rae Sremmurd & Juicy J,2018-05-05,Powerglide
340,J. Cole,2018-05-05,Window Pain (Outro)
341,Maroon 5,2018-05-05,Wait
342,Offset & Metro Boomin,2018-05-05,Ric Flair Drip
343,Kendrick Lamar & SZA,2018-05-05,All The Stars
344,Imagine Dragons,2018-05-05,Thunder
345,J. Cole Featuring kiLL edward,2018-05-05,Friends
346,J. Cole,2018-05-05,Once An Addict (Interlude)
347,Nicki Minaj,2018-05-05,Chun-Li
348,NF,2018-05-05,Let You Down
349,Portugal. The Man,2018-05-05,Feel It Still
350,Cardi B Featuring Migos,2018-05-05,Drip
351,Taylor Swift,2018-05-05,Delicate
352,J. Cole,2018-05-05,Intro
353,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-05-05,King's Dead
354,Ella Mai,2018-05-05,Boo'd Up
355,Nicky Jam x J Balvin,2018-05-05,X
356,"Khalid, Ty Dolla $ign & 6LACK",2018-05-05,OTW
357,Meghan Trainor,2018-05-05,No Excuses
358,Khalid & Normani,2018-05-05,Love Lies
359,Cardi B Featuring 21 Savage,2018-05-05,Bartier Cardi
360,Rich The Kid Featuring Kendrick Lamar,2018-05-05,New Freezer
361,Luke Bryan,2018-05-05,Most People Are Good
362,Dan + Shay,2018-05-05,Tequila
363,Calvin Harris & Dua Lipa,2018-05-05,One Kiss
364,Justin Timberlake Featuring Chris Stapleton,2018-05-05,Say Something
365,Logic & Marshmello,2018-05-05,Everyday
366,Jordan Davis,2018-05-05,Singles You Up
367,Luke Combs,2018-05-05,One Number Away
368,YoungBoy Never Broke Again,2018-05-05,Outside Today
369,Cardi B Featuring SZA,2018-05-05,I Do
370,Cardi B Featuring Kehlani,2018-05-05,Ring
371,Sugarland Featuring Taylor Swift,2018-05-05,Babe
372,Dua Lipa,2018-05-05,IDGAF
373,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-05-05,Te Bote
374,Daddy Yankee,2018-05-05,Dura
375,Bad Wolves,2018-05-05,Zombie
376,Lauv,2018-05-05,I Like Me Better
377,Nicki Minaj,2018-05-05,Barbie Tingz
378,Foster The People,2018-05-05,Sit Next To Me
379,Blake Shelton,2018-05-05,I Lived It
380,El Chombo Featuring Cutty Ranks,2018-05-05,Dame Tu Cosita
381,Kenny Chesney,2018-05-05,Get Along
382,XXXTENTACION,2018-05-05,Changes
383,Morgan Wallen Featuring Florida Georgia Line,2018-05-05,Up Down
384,Brett Eldredge,2018-05-05,The Long Way
385,Darius Rucker,2018-05-05,For The First Time
386,Ozuna & Romeo Santos,2018-05-05,El Farsante
387,Dierks Bentley,2018-05-05,"Woman, Amen"
388,YoungBoy Never Broke Again,2018-05-05,Diamond Teeth Samurai
389,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-05,Sativa
390,Keala Settle & The Greatest Showman Ensemble,2018-05-05,This Is Me
391,Halsey Featuring Big Sean & Stefflon Don,2018-05-05,Alone
392,Lil Skies Featuring Landon Cube,2018-05-05,Red Roses
393,XXXTENTACION,2018-05-05,Moonlight
394,David Lee Murphy & Kenny Chesney,2018-05-05,Everything's Gonna Be Alright
395,Carrie Underwood,2018-05-05,Cry Pretty
396,Tank,2018-05-05,When We
397,Rae Sremmurd & Travis Scott,2018-05-05,Close
398,Cardi B,2018-05-05,Thru Your Phone
399,Cardi B Featuring Chance The Rapper,2018-05-05,Best Life
400,Drake,2018-04-07,God's Plan
401,Bebe Rexha & Florida Georgia Line,2018-04-07,Meant To Be
402,Bruno Mars & Cardi B,2018-04-07,Finesse
403,Post Malone Featuring Ty Dolla $ign,2018-04-07,Psycho
404,Ed Sheeran,2018-04-07,Perfect
405,BlocBoy JB Featuring Drake,2018-04-07,Look Alive
406,"Zedd, Maren Morris & Grey",2018-04-07,The Middle
407,Lil Dicky Featuring Chris Brown,2018-04-07,Freaky Friday
408,XXXTENTACION,2018-04-07,Sad!
409,Camila Cabello Featuring Young Thug,2018-04-07,Havana
410,Bazzi,2018-04-07,Mine
411,The Weeknd & Kendrick Lamar,2018-04-07,Pray For Me
412,Migos,2018-04-07,Stir Fry
413,Camila Cabello,2018-04-07,Never Be The Same
414,Migos Featuring Drake,2018-04-07,Walk It Talk It
415,Kendrick Lamar & SZA,2018-04-07,All The Stars
416,Offset & Metro Boomin,2018-04-07,Ric Flair Drip
417,Rich The Kid,2018-04-07,Plug Walk
418,NF,2018-04-07,Let You Down
419,Dua Lipa,2018-04-07,New Rules
420,Post Malone Featuring 21 Savage,2018-04-07,Rockstar
421,Shawn Mendes,2018-04-07,In My Blood
422,Imagine Dragons,2018-04-07,Whatever It Takes
423,Imagine Dragons,2018-04-07,Thunder
424,G-Eazy & Halsey,2018-04-07,Him & I
425,Maroon 5,2018-04-07,Wait
426,MAX Featuring gnash,2018-04-07,Lights Down Low
427,Kane Brown,2018-04-07,Heaven
428,Post Malone,2018-04-07,I Fall Apart
429,Marshmello & Anne-Marie,2018-04-07,Friends
430,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-04-07,King's Dead
431,Portugal. The Man,2018-04-07,Feel It Still
432,Justin Timberlake Featuring Chris Stapleton,2018-04-07,Say Something
433,Jason Aldean,2018-04-07,You Make It Easy
434,Thomas Rhett,2018-04-07,Marry Me
435,N*E*R*D & Rihanna,2018-04-07,Lemon
436,Halsey,2018-04-07,Bad At Love
437,Rae Sremmurd & Juicy J,2018-04-07,Powerglide
438,XXXTENTACION,2018-04-07,Changes
439,YoungBoy Never Broke Again,2018-04-07,Outside Today
440,G-Eazy Featuring A$AP Rocky & Cardi B,2018-04-07,No Limit
441,Rich The Kid Featuring Kendrick Lamar,2018-04-07,New Freezer
442,Kendrick Lamar Featuring Zacari,2018-04-07,Love.
443,Selena Gomez X Marshmello,2018-04-07,Wolves
444,"Migos, Nicki Minaj & Cardi B",2018-04-07,MotorSport
445,Luke Bryan,2018-04-07,Most People Are Good
446,Cardi B Featuring 21 Savage,2018-04-07,Bartier Cardi
447,XXXTENTACION,2018-04-07,Moonlight
448,Khalid & Normani,2018-04-07,Love Lies
449,Jordan Davis,2018-04-07,Singles You Up
450,Nicky Jam x J Balvin,2018-04-07,X
451,Taylor Swift,2018-04-07,Delicate
452,Daddy Yankee,2018-04-07,Dura
453,Dua Lipa,2018-04-07,IDGAF
454,Meghan Trainor,2018-04-07,No Excuses
455,6ix9ine,2018-04-07,Gummo
456,6ix9ine,2018-04-07,Billy
457,Chris Stapleton,2018-04-07,Broken Halos
458,Demi Lovato,2018-04-07,Tell Me You Love Me
459,Panic! At The Disco,2018-04-07,Say Amen (Saturday Night)
460,Derez De'Shon,2018-04-07,Hardaway
461,Devin Dawson,2018-04-07,All On Me
462,Ozuna & Romeo Santos,2018-04-07,El Farsante
463,Shawn Mendes,2018-04-07,Lost In Japan
464,Bad Wolves,2018-04-07,Zombie
465,"DJ Khaled Featuring JAY Z, Future & B",2018-04-07,Top Off
466,Logic & Marshmello,2018-04-07,Everyday
467,Brett Eldredge,2018-04-07,The Long Way
468,Lil Skies Featuring Landon Cube,2018-04-07,Red Roses
469,Famous Dex,2018-04-07,Japan
470,Famous Dex Featuring A$AP Rocky,2018-04-07,Pick It Up
471,Scotty McCreery,2018-04-07,Five More Minutes
472,Luke Combs,2018-04-07,One Number Away
473,Dan + Shay,2018-04-07,Tequila
474,Lil Yachty Featuring NBA YoungBoy,2018-04-07,NBAYoungboat
475,Lauv,2018-04-07,I Like Me Better
476,Lil Xan,2018-04-07,Betrayed
477,Foster The People,2018-04-07,Sit Next To Me
478,YoungBoy Never Broke Again,2018-04-07,No Smoke
479,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-04-07,Sativa
480,High Valley,2018-04-07,She's With Me
481,Tank,2018-04-07,When We
482,Blake Shelton,2018-04-07,I Lived It
483,Lil Skies Featuring Landon Cube,2018-04-07,Nowadays
484,Logic,2018-04-07,44 More
485,Morgan Wallen Featuring Florida Georgia Line,2018-04-07,Up Down
486,Keala Settle & The Greatest Showman Ensemble,2018-04-07,This Is Me
487,P!nk,2018-04-07,Beautiful Trauma
488,Migos,2018-04-07,Narcos
489,Luis Fonsi & Demi Lovato,2018-04-07,Echame La Culpa
490,Old Dominion,2018-04-07,Written In The Sand
491,Chris Brown,2018-04-07,Tempo
492,Blac Youngsta,2018-04-07,Booty
493,Ozuna x Cardi B,2018-04-07,La Modelo
494,Darius Rucker,2018-04-07,For The First Time
495,YBN Nahmir,2018-04-07,Rubbin Off The Paint
496,XXXTENTACION,2018-04-07,The Remedy For A Broke Heart (Why Am I So In Love)
497,Trippie Redd Featuring Travis Scott,2018-04-07,Dark Knight Dummo
498,Daniel Caesar Featuring Kali Uchis,2018-04-07,Get You
499,Alice Merton,2018-04-07,No Roots
500,Drake,2018-03-03,God's Plan
501,Ed Sheeran,2018-03-03,Perfect
502,Bruno Mars & Cardi B,2018-03-03,Finesse
503,Camila Cabello Featuring Young Thug,2018-03-03,Havana
504,BlocBoy JB Featuring Drake,2018-03-03,Look Alive
505,Post Malone Featuring 21 Savage,2018-03-03,Rockstar
506,Kendrick Lamar & SZA,2018-03-03,All The Stars
507,Bebe Rexha & Florida Georgia Line,2018-03-03,Meant To Be
508,The Weeknd & Kendrick Lamar,2018-03-03,Pray For Me
509,Migos,2018-03-03,Stir Fry
510,Dua Lipa,2018-03-03,New Rules
511,NF,2018-03-03,Let You Down
